"CommandID","ParameterName","ParameterType","IsRequired","Description"
"1","ExtensionID","String","1","The ID of the extension to add."
"1","UpdateUrl","String","1","The update URL of the extension. This is the URL where the extension will check for updates."
"1","InstallationMode","String","1","The installation mode of the extension. Allowed values: blocked, allowed, removed, force_installed, normal_installed."
"1","MinimumVersionRequired","String","0","The minimum version of the extension required for installation."
"1","Verbose","SwitchParameter","0","No description available."
"1","Debug","SwitchParameter","0","No description available."
"1","ErrorAction","ActionPreference","0","No description available."
"1","WarningAction","ActionPreference","0","No description available."
"1","InformationAction","ActionPreference","0","No description available."
"1","ErrorVariable","String","0","No description available."
"1","WarningVariable","String","0","No description available."
"1","InformationVariable","String","0","No description available."
"1","OutVariable","String","0","No description available."
"1","OutBuffer","Int32","0","No description available."
"1","PipelineVariable","String","0","No description available."
"2","Hookpoint","CallbackType","1","Where you wish for the callback to be executed at.    Valid hookpoints are:  * OnInit (The callback is executed before the module is initialized)  * OnStart (The callback is executed before the first deployment session is opened)  * PreOpen (The callback is executed before a deployment session is opened)  * PostOpen (The callback is executed after a deployment session is opened)  * PreClose (The callback is executed before the deployment session is closed)  * PostClose (The callback is executed after the deployment session is closed)  * OnFinish (The callback is executed before the last deployment session is closed)  * OnExit (The callback is executed after the last deployment session is closed)    Each hook point supports multiple callbacks, each invoked in the order they're added.    To see a list all the registered callbacks in order, use `Get-ADTModuleCallback`."
"2","Callback","CommandInfo[]","1","The callback function to add to the nominated hooking point."
"2","Verbose","SwitchParameter","0","No description available."
"2","Debug","SwitchParameter","0","No description available."
"2","ErrorAction","ActionPreference","0","No description available."
"2","WarningAction","ActionPreference","0","No description available."
"2","InformationAction","ActionPreference","0","No description available."
"2","ErrorVariable","String","0","No description available."
"2","WarningVariable","String","0","No description available."
"2","InformationVariable","String","0","No description available."
"2","OutVariable","String","0","No description available."
"2","OutBuffer","Int32","0","No description available."
"2","PipelineVariable","String","0","No description available."
"3","ProcessName","String[]","1","Name of the process or processes separated by commas."
"3","WindowLocation","DialogPosition","0","The location of the dialog on the screen."
"3","Verbose","SwitchParameter","0","No description available."
"3","Debug","SwitchParameter","0","No description available."
"3","ErrorAction","ActionPreference","0","No description available."
"3","WarningAction","ActionPreference","0","No description available."
"3","InformationAction","ActionPreference","0","No description available."
"3","ErrorVariable","String","0","No description available."
"3","WarningVariable","String","0","No description available."
"3","InformationVariable","String","0","No description available."
"3","OutVariable","String","0","No description available."
"3","OutBuffer","Int32","0","No description available."
"3","PipelineVariable","String","0","No description available."
"4","Hookpoint","CallbackType","1","The callback hook point that you wish to clear.    Valid hookpoints are:  * OnInit (The callback is executed before the module is initialized)  * OnStart (The callback is executed before the first deployment session is opened)  * PreOpen (The callback is executed before a deployment session is opened)  * PostOpen (The callback is executed after a deployment session is opened)  * PreClose (The callback is executed before the deployment session is closed)  * PostClose (The callback is executed after the deployment session is closed)  * OnFinish (The callback is executed before the last deployment session is closed)  * OnExit (The callback is executed after the last deployment session is closed)    To see a list all the registered callbacks in order, use `Get-ADTModuleCallback`."
"4","Verbose","SwitchParameter","0","No description available."
"4","Debug","SwitchParameter","0","No description available."
"4","ErrorAction","ActionPreference","0","No description available."
"4","WarningAction","ActionPreference","0","No description available."
"4","InformationAction","ActionPreference","0","No description available."
"4","ErrorVariable","String","0","No description available."
"4","WarningVariable","String","0","No description available."
"4","InformationVariable","String","0","No description available."
"4","OutVariable","String","0","No description available."
"4","OutBuffer","Int32","0","No description available."
"4","PipelineVariable","String","0","No description available."
"5","Verbose","SwitchParameter","0","No description available."
"5","Debug","SwitchParameter","0","No description available."
"5","ErrorAction","ActionPreference","0","No description available."
"5","WarningAction","ActionPreference","0","No description available."
"5","InformationAction","ActionPreference","0","No description available."
"5","ErrorVariable","String","0","No description available."
"5","WarningVariable","String","0","No description available."
"5","InformationVariable","String","0","No description available."
"5","OutVariable","String","0","No description available."
"5","OutBuffer","Int32","0","No description available."
"5","PipelineVariable","String","0","No description available."
"6","ExitCode","Nullable`1","0","The exit code to set for the session."
"6","NoShellExit","SwitchParameter","1","Doesn't exit PowerShell upon closing of the final session."
"6","Force","SwitchParameter","1","Forcibly exits PowerShell upon closing of the final session."
"6","PassThru","SwitchParameter","0","Returns the exit code of the session being closed."
"6","Verbose","SwitchParameter","0","No description available."
"6","Debug","SwitchParameter","0","No description available."
"6","ErrorAction","ActionPreference","0","No description available."
"6","WarningAction","ActionPreference","0","No description available."
"6","InformationAction","ActionPreference","0","No description available."
"6","ErrorVariable","String","0","No description available."
"6","WarningVariable","String","0","No description available."
"6","InformationVariable","String","0","No description available."
"6","OutVariable","String","0","No description available."
"6","OutBuffer","Int32","0","No description available."
"6","PipelineVariable","String","0","No description available."
"7","Cmdlet","PSCmdlet","1","The PSCmdlet object representing the cmdlet being completed."
"7","Verbose","SwitchParameter","0","No description available."
"7","Debug","SwitchParameter","0","No description available."
"7","ErrorAction","ActionPreference","0","No description available."
"7","WarningAction","ActionPreference","0","No description available."
"7","InformationAction","ActionPreference","0","No description available."
"7","ErrorVariable","String","0","No description available."
"7","WarningVariable","String","0","No description available."
"7","InformationVariable","String","0","No description available."
"7","OutVariable","String","0","No description available."
"7","OutBuffer","Int32","0","No description available."
"7","PipelineVariable","String","0","No description available."
"8","Key","String","1","Path to the registry key to convert (can be a registry hive or fully qualified path)"
